gnd_id,bbg,name,count
1217666052,Tb3,Phoebus-Palast,46
1216519641,Tb3,Wydawnictwo Philobiblon,34
1212069919,Tb1,Akademie der Wissenschaften zu Göttingen,23
1214400329,Tb1,Zentralkomitee der Deutschen Katholiken,22
1230450041,Tb3,Friedrich-Schiller-Universität Jena. Zentrum für Lehrerbildung und Bildungsforschung,21
121375707X,Tb1,Deutschland. Bundesministerium für Bildung und Forschung. Referat Öffentlichkeitsarbeit,21
1217205349,Tb1,Hirnkost KG,18
1223110656,Tb1,Delta Publishing by Klett,17
1228296863,Tb1,Katholische Kirche. Diözese Rottenburg,16
121426946X,Tb1,Schleswig-Holstein. Schleswig-Holsteinischer Landtag. Präsident,13
